cluster_lat,cluster_lon,hhsize,con_norm_day,cons_pc
-17.09515,35.217213,79,112.43587759192825,1.4232389568598511
-17.092351,35.114643,70,88.63426223745863,1.266203746249409
-17.016698,35.079629,78,122.21582489967398,1.5668695499958203
-16.977243,35.205706,66,110.17018104330415,1.6692451673227902
-16.956385,35.168967,61,66.48332735427023,1.0898906123650858
-16.954723,35.215598,73,101.29863428447891,1.3876525244449165
-16.939071,35.24181,57,65.86838120419377,1.155585635161294
-16.914725,35.265168,74,287.24903173713545,3.881743672123452
-16.826165,35.269503,88,99.32042215649754,1.1286411608692903
-16.750418,35.257341,74,120.84037904421909,1.63297809519215
-16.738025,34.927118,65,76.45841918239839,1.1762833720368984
-16.737738,35.242437,68,107.10352584775958,1.5750518507023468
-16.648067,35.113616,63,66.76099768698508,1.05969837598389
-16.592197,35.129116,85,124.16580570916523,1.4607741848137086
-16.579039,35.102457,78,158.11647452338212,2.0271342887613093
-16.5564,35.033896,53,98.12851334281476,1.8514813838266935
-16.541381,34.933292,63,83.59047535485412,1.3268329421405416
-16.521567,35.042003,67,118.82999281398367,1.7735819822982637
-16.506757,35.151249,60,104.00016550182497,1.7333360916970828
-16.497695,34.947832,77,68.95923362119203,0.8955744626128834
-16.4966,34.943521,82,117.07989397283701,1.4278035850345978
-16.489865,34.827208,69,100.05116746187332,1.4500169197372945
-16.483227,35.240196,77,63.08631933967844,0.8193028485672524
-16.472382,35.132391,67,78.53128378392144,1.1721087131928574
-16.465764,34.828724,67,90.29746078359535,1.3477232952775426
-16.421608,35.189122,66,122.1293753023086,1.850445080338009
-16.4184,35.126675,55,81.57775436957286,1.4832318976285974
-16.392512,34.890469,81,119.82363738634501,1.4793041652635186
-16.386542,35.141033,53,183.9247518594645,3.4702783369710284
-16.368803,34.656367,79,102.61269991519126,1.2988949356353323
-16.349154,35.128115,74,127.2916066399606,1.720156846485954
-16.33911,35.274649,68,49.25943702578372,0.7244034856732899
-16.321642,34.76847,72,93.78224154277558,1.3025311325385498
-16.308801,35.149457,68,79.23321249052889,1.165194301331307
-16.307387,35.278111,71,104.9870329980623,1.4786906056065112
-16.269667,35.048295,61,115.35387179575162,1.8910470786188789
-16.26714,34.845016,56,217.00060321667178,3.8750107717262816
-16.237141,35.113096,76,105.82635674732431,1.3924520624647936
-16.226333,34.824941,61,107.08566345971802,1.7555026796675086
-16.215058,34.976689,77,158.32809989581295,2.0562090895560123
-16.207909,35.15497,61,97.49691162199365,1.5983100265900598
-16.196075,35.208329,73,96.07528770962027,1.3160998316386339
-16.181382,35.219897,67,88.77156437532396,1.3249487220197607
-16.177162,34.678861,95,96.62586297607518,1.0171143471165809
-16.17673,34.930358,62,96.45596339250508,1.5557413450404045
-16.153,35.198578,56,85.50041101715362,1.5267930538777432
-16.146878,34.855856,62,112.68266792443174,1.8174623858779313
-16.139062,35.151528,64,93.12495070276923,1.4550773547307692
-16.119842,35.561699,78,121.1385894918771,1.55305883963945
-16.119289,35.381973,77,119.07945828717405,1.5464864712620006
-16.113604,35.346823,85,115.77796485084369,1.3620937041275727
-16.108243,35.110525,57,98.94093692812825,1.7358059110197939
-16.099412,35.303969,69,111.76443637771811,1.6197744402567842
-16.097034,35.073377,52,113.69257222748556,2.1863956197593377
-16.096666,34.975852,73,71.62577673576226,0.9811750237775652
-16.094797,35.681098,65,78.61641839058699,1.2094833598551844
-16.091054,35.56195,62,97.9060897780318,1.5791304802908355
-16.084998,35.581694,64,81.9077720748782,1.2798089386699718
-16.081528,34.529636,78,136.62560016692782,1.7516102585503568
-16.054833,35.360422,66,93.73532780724771,1.4202322395037532
-16.051462,35.244837,50,99.3399369367861,1.986798738735722
-16.047835,35.472547,56,89.72866155639133,1.6022975277927023
-16.04697,34.910217,64,119.00124518677596,1.8593944560433744
-16.044566,35.695152,79,205.4632337035371,2.600800426627052
-16.043878,35.6054,56,81.19089564418422,1.4498374222175754
-16.041099,35.145198,54,137.31210633037875,2.542816783895903
-16.030033,34.802835,55,140.15864799794198,2.548339054508036
-16.029948,35.410465,67,74.529744206338,1.1123842418856418
-16.028134,35.635929,83,153.23148679302122,1.8461624914821833
-16.028061,34.805825,75,109.31838616893022,1.457578482252403
-16.022744,35.811397,59,109.50679250587875,1.8560473306081144
-16.022487,35.513886,65,328.0115037694119,5.0463308272217215
-16.020639,35.448207,74,219.84353432958886,2.9708585720214713
-16.009724,35.145672,53,89.4989517793348,1.688659467534619
-16.007173,35.1575,67,172.33669621879815,2.5721894958029576
-16.006285,34.799761,65,139.47474401408277,2.1457652925243504
-15.994161,35.075365,69,169.43988828571113,2.455650554865379
-15.978893,34.978723,43,68.59926705243335,1.5953317919170547
-15.97529,35.029295,51,106.44863740226019,2.087228184358043
-15.965693,35.392825,87,119.7191097504209,1.3760817212692058
-15.964919,34.950694,60,104.9712917039453,1.7495215283990884
-15.959665,35.03493,53,134.90497029720495,2.5453767980604707
-15.944962,35.298889,52,96.36829111241036,1.853236367546353
-15.940622,35.095487,35,70.86616320679417,2.024747520194119
-15.938183,35.467495,82,147.5796710888763,1.799752086449711
-15.93632,35.227798,70,130.5274448386667,1.8646777834095243
-15.929301,35.290814,55,77.1933553492087,1.4035155518037945
-15.916279,35.384048,60,67.77815393496783,1.1296358989161306
-15.915619,34.404055,76,117.94393556846369,1.5518938890587328
-15.909287,34.939594,64,108.86138651600818,1.7009591643126278
-15.908184,35.294892,57,89.04933338207618,1.5622690067030909
-15.902223,34.829097,59,123.80751948366614,2.09843253362146
-15.889826,35.766564,60,81.68729767047786,1.361454961174631
-15.877739,35.351154,59,73.65373778685975,1.2483684370654196
-15.875918,35.555916,80,84.50297565087624,1.056287195635953
-15.864042,35.171426,67,141.0119436725942,2.1046558757103613
-15.856066,35.112088,59,128.99630129919967,2.1863779881220284
-15.853133,35.080689,81,300.8764029060841,3.7145234926677047
-15.852817,35.043412,72,213.07894683735705,2.9594298171855145
-15.851081,35.249045,55,132.50790299463608,2.4092345999024745
-15.849466,35.286663,42,58.013896495454695,1.3812832498917784
-15.848941,34.988053,48,111.1479864432695,2.315583050901448
-15.84872,35.073285,64,230.43590278563812,3.6005609810255956
-15.848325,35.567227,77,132.7836201384416,1.7244625992005402
-15.847348,34.995895,65,172.32509883637212,2.651155366713417
-15.84688,35.05698,60,269.54494828398214,4.492415804733036
-15.836097,35.616962,64,77.39392724005663,1.2092801131258848
