cluster_lat,cluster_lon,cons_pc,nightlights,feat_index
-17.09515,35.217213,1.4232389568598511,0.025205849,0
-17.092351,35.114643,1.266203746249409,0.0,1
-17.016698,35.079629,1.5668695499958205,0.0,2
-16.977243,35.205706,1.6692451673227902,0.008265777,3
-16.956385,35.168967,1.0898906123650858,0.0022951383,4
-16.954723,35.215598,1.3876525244449165,0.10357858,5
-16.939071,35.24181,1.155585635161294,0.15222566,6
-16.914725,35.265168,3.881743672123452,0.1594745,7
-16.826165,35.269503,1.1286411608692903,0.0012319379,8
-16.750418,35.257341,1.63297809519215,0.013611712,9
-16.738025,34.927118,1.1762833720368984,0.0,10
-16.737738,35.242437,1.5750518507023468,0.0136117125,11
-16.648067,35.113616,1.05969837598389,0.0026144858,12
-16.592197,35.129116,1.4607741848137086,0.10854412,13
-16.579039,35.102457,2.0271342887613093,0.10445104,14
-16.5564,35.033896,1.8514813838266928,0.02473626,15
-16.541381,34.933292,1.3268329421405416,0.0033044233,16
-16.521567,35.042003,1.7735819822982637,0.022732794,17
-16.506757,35.151249,1.7333360916970828,0.010977042,18
-16.497695,34.947832,0.8955744626128834,0.008866809,19
-16.4966,34.943521,1.4278035850345978,0.009320767,20
-16.489865,34.827208,1.4500169197372943,0.050239913,21
-16.483227,35.240196,0.8193028485672524,0.0,22
-16.472382,35.132391,1.1721087131928574,0.0020246871,23
-16.465764,34.828724,1.3477232952775426,0.0813655,24
-16.421608,35.189122,1.850445080338009,0.034610964,25
-16.4184,35.126675,1.4832318976285974,0.010117254,26
-16.392512,34.890469,1.4793041652635186,0.048794698,27
-16.386542,35.141033,3.4702783369710284,0.028256554,28
-16.368803,34.656367,1.2988949356353323,0.0,29
-16.349154,35.128115,1.720156846485954,0.0076835905,30
-16.33911,35.274649,0.7244034856732899,0.001795089,31
-16.321642,34.76847,1.3025311325385498,0.0,32
-16.308801,35.149457,1.165194301331307,0.010493461,33
-16.307387,35.278111,1.4786906056065112,0.0,34
-16.269667,35.048295,1.8910470786188789,0.012991846,35
-16.26714,34.845016,3.8750107717262816,0.34160715,36
-16.237141,35.113096,1.3924520624647936,0.030735482,37
-16.226333,34.824941,1.7555026796675086,0.13705646,38
-16.215058,34.976689,2.0562090895560123,0.005853432,39
-16.207909,35.15497,1.5983100265900598,0.04441635,40
-16.196075,35.208329,1.316099831638634,0.0035472377,41
-16.181382,35.219897,1.3249487220197609,0.0031683703,42
-16.177162,34.678861,1.0171143471165809,0.0,43
-16.17673,34.930358,1.5557413450404045,0.022205168,44
-16.153,35.198578,1.5267930538777432,0.0030669242,45
-16.146878,34.855856,1.8174623858779315,0.041919526,46
-16.139062,35.151528,1.4550773547307692,0.057079013,47
-16.119842,35.561699,1.55305883963945,0.039309982,48
-16.119289,35.381973,1.5464864712620006,0.0077989413,49
-16.113604,35.346823,1.3620937041275727,0.0056935283,50
-16.108243,35.110525,1.735805911019794,0.17881487,51
-16.099412,35.303969,1.6197744402567842,0.0070936414,52
-16.097034,35.073377,2.1863956197593377,0.052171197,53
-16.096666,34.975852,0.9811750237775652,0.002217241,54
-16.094797,35.681098,1.2094833598551844,0.23172909,55
-16.091054,35.56195,1.5791304802908357,0.047477324,56
-16.084998,35.581694,1.2798089386699718,0.069387704,57
-16.081528,34.529636,1.7516102585503568,0.0026070308,58
-16.054833,35.360422,1.4202322395037532,0.030721882,59
-16.051462,35.244837,1.986798738735722,0.047491074,60
-16.047835,35.472547,1.6022975277927023,0.18865667,61
-16.04697,34.910217,1.8593944560433744,0.0009213015,62
-16.044566,35.695152,2.600800426627052,0.31911716,63
-16.043878,35.6054,1.4498374222175754,0.024502845,64
-16.041099,35.145198,2.542816783895903,0.19801092,65
-16.030033,34.802835,2.548339054508036,0.1963207,66
-16.029948,35.410465,1.1123842418856418,0.06284601,67
-16.028134,35.635929,1.846162491482184,0.02955311,68
-16.028061,34.805825,1.457578482252403,0.19547588,69
-16.022744,35.811397,1.8560473306081144,0.0055485736,70
-16.022487,35.513886,5.0463308272217215,0.21311691,71
-16.020639,35.448207,2.970858572021472,0.12972164,72
-16.009724,35.145672,1.688659467534619,0.05064415,73
-16.007173,35.1575,2.5721894958029576,0.058614,74
-16.006285,34.799761,2.1457652925243504,0.15686767,75
-15.994161,35.075365,2.455650554865379,0.0692825,76
-15.978893,34.978723,1.5953317919170549,0.0074470034,77
-15.97529,35.029295,2.087228184358043,0.0806899,78
-15.965693,35.392825,1.3760817212692058,0.054030474,79
-15.964919,34.950694,1.7495215283990884,0.009470536,80
-15.959665,35.03493,2.5453767980604707,0.12550202,81
-15.944962,35.298889,1.853236367546353,0.011923167,82
-15.940622,35.095487,2.024747520194119,0.34711128,83
-15.938183,35.467495,1.799752086449711,0.019457683,84
-15.93632,35.227798,1.8646777834095245,0.07992973,85
-15.929301,35.290814,1.4035155518037945,0.011788599,86
-15.916279,35.384048,1.1296358989161306,0.0375811,87
-15.915619,34.404055,1.5518938890587328,0.0,88
-15.909287,34.939594,1.7009591643126278,0.090049535,89
-15.908184,35.294892,1.5622690067030909,0.017349062,90
-15.902223,34.829097,2.09843253362146,0.0,91
-15.889826,35.766564,1.361454961174631,0.009586572,92
-15.877739,35.351154,1.2483684370654196,0.038040947,93
-15.875918,35.555916,1.056287195635953,0.00409388,94
